,classifier,tr_precision_avg_is,tr_precision_stdev_is,tr_recall_avg_is,tr_recall_stdev_is,tr_f1_avg_is,tr_f1_stdev_is,te_precision_avg_is,te_precision_stdev_is,te_recall_avg_is,te_recall_stdev_is,te_f1_avg_is,te_f1_stdev_is,Tf_CV_Avg_is,Tf_CV_stdev_is,au_ROC_avg_is,au_ROC_stdev_is,au_PR_avg_is,au_PR_stdev_is
0,LogR,0.933,0.024,0.933,0.023,0.934,0.024,0.882,0.122,0.87,0.129,0.91,0.072,0.858,0.029,0.972,0.068,0.985,0.038
1,gNB,0.971,0.019,0.971,0.018,0.974,0.016,0.771,0.229,0.705,0.309,0.696,0.354,0.818,0.099,0.84,0.201,0.902,0.122
2,SVM,0.981,0.015,0.981,0.015,0.982,0.014,0.854,0.184,0.822,0.235,0.818,0.268,0.868,0.029,0.972,0.068,0.985,0.038
3,DT,1.0,0.0,1.0,0.0,1.0,0.0,0.875,0.194,0.846,0.246,0.839,0.278,0.856,0.044,0.875,0.194,0.922,0.113
4,RF,1.0,0.0,1.0,0.0,1.0,0.0,0.854,0.184,0.822,0.235,0.818,0.268,0.857,0.044,0.972,0.068,0.985,0.038
5,KNN,0.89,0.022,0.89,0.021,0.892,0.021,0.882,0.122,0.87,0.129,0.91,0.072,0.875,0.023,0.91,0.072,0.934,0.058
6,LDA,0.995,0.012,0.995,0.012,0.996,0.011,0.715,0.187,0.672,0.244,0.716,0.288,0.857,0.049,0.792,0.252,0.777,0.258
7,mNB,0.855,0.098,0.854,0.1,0.868,0.091,0.715,0.248,0.66,0.296,0.697,0.319,0.726,0.08,0.889,0.172,0.843,0.257
8,ABC,1.0,0.0,1.0,0.0,1.0,0.0,0.882,0.11,0.878,0.11,0.893,0.108,0.861,0.047,0.972,0.068,0.985,0.038
9,GBC,1.0,0.0,1.0,0.0,1.0,0.0,0.903,0.131,0.894,0.139,0.93,0.078,0.875,0.053,0.958,0.065,0.97,0.051
10,ETC,1.0,0.0,1.0,0.0,1.0,0.0,0.854,0.184,0.822,0.235,0.818,0.268,0.848,0.033,0.951,0.077,0.964,0.057
11,BC,0.972,0.025,0.971,0.025,0.973,0.025,0.833,0.188,0.798,0.239,0.806,0.267,0.854,0.02,0.965,0.055,0.972,0.05
