,classifier,tr_precision_avg_rs,tr_precision_stdev_rs,tr_recall_avg_rs,tr_recall_stdev_rs,tr_f1_avg_rs,tr_f1_stdev_rs,te_precision_avg_rs,te_precision_stdev_rs,te_recall_avg_rs,te_recall_stdev_rs,te_f1_avg_rs,te_f1_stdev_rs,Tf_CV_Avg_rs,Tf_CV_stdev_rs,au_ROC_avg_rs,au_ROC_stdev_rs,au_PR_avg_rs,au_PR_stdev_rs
0,LogR,0.836,0.217,0.743,0.106,0.771,0.133,0.76,0.328,0.588,0.242,0.51,0.193,0.605,0.113,0.626,0.101,0.811,0.049
1,gNB,0.688,0.275,0.683,0.152,0.854,0.123,0.54,0.405,0.43,0.322,0.384,0.28,0.605,0.106,0.6,0.112,0.733,0.08
2,SVM,0.84,0.216,0.75,0.105,0.774,0.133,0.76,0.202,0.62,0.155,0.573,0.164,0.606,0.126,0.611,0.155,0.738,0.132
3,DT,0.775,0.255,0.723,0.137,0.812,0.128,0.67,0.375,0.523,0.288,0.458,0.241,0.608,0.11,0.624,0.097,0.809,0.047
4,RF,0.775,0.255,0.723,0.137,0.812,0.128,0.67,0.375,0.523,0.288,0.458,0.241,0.609,0.11,0.626,0.101,0.811,0.049
5,KNN,0.738,0.379,0.609,0.239,0.658,0.219,0.695,0.426,0.516,0.316,0.428,0.261,0.586,0.083,0.607,0.108,0.801,0.051
6,LDA,0.818,0.23,0.741,0.118,0.787,0.13,0.735,0.341,0.57,0.25,0.498,0.198,0.608,0.11,0.616,0.086,0.778,0.046
7,mNB,0.371,0.11,0.481,0.133,0.917,0.153,0.268,0.095,0.257,0.104,0.289,0.124,0.528,0.05,0.618,0.081,0.727,0.053
8,ABC,0.839,0.224,0.749,0.109,0.774,0.136,0.73,0.366,0.563,0.27,0.488,0.218,0.611,0.109,0.624,0.097,0.809,0.047
9,GBC,0.817,0.234,0.739,0.122,0.787,0.131,0.74,0.338,0.57,0.25,0.493,0.203,0.611,0.109,0.624,0.097,0.809,0.047
10,ETC,0.775,0.255,0.723,0.137,0.812,0.128,0.67,0.375,0.525,0.291,0.461,0.245,0.609,0.113,0.626,0.101,0.811,0.049
11,BC,0.8,0.227,0.73,0.127,0.794,0.114,0.7,0.341,0.545,0.26,0.475,0.215,0.612,0.106,0.624,0.097,0.809,0.047
